identificador,tipo,monto,categoria,fecha,descripcion
1,Control de ingresos,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
2,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
3,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
4,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
5,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
6,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
7,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
8,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
9,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
10,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
11,Gasto,1000.00,Personal,2026-09-08,Neceito solventar un problema de dinero en mi hogar
12,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
13,Gasto,50.00,comida,,almuerzo
14,Ingreso,2000.00,Finanza administrativa,2026-09-08,Necesito llevar el control de una empresa
15,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
16,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
17,Ingreso,1500.00,Finanza personal,2026-07-27,Necesito llevar un control del dinero en mi hogar
